2D data, Muon channel, low edge of bin values given for x and y axes
108.0, 0.08, 0.0
108.0, 0.0844, 0.0
108.0, 0.0889, 0.0
108.0, 0.0933, 0.0
108.0, 0.0978, 0.0
108.0, 0.102, 0.0
108.0, 0.107, 0.0
108.0, 0.111, 0.0
108.0, 0.116, 0.0
108.0, 0.12, 0.0
108.0, 0.124, 0.0
108.0, 0.129, 0.0
108.0, 0.133, 0.0
108.0, 0.138, 0.0
108.0, 0.142, 0.0
108.0, 0.147, 0.0
108.0, 0.151, 0.0
108.0, 0.156, 0.0
108.0, 0.16, 0.0
108.0, 0.164, 0.0
108.0, 0.169, 0.0
108.0, 0.173, 0.0
108.0, 0.178, 0.0
108.0, 0.182, 0.0
108.0, 0.187, 0.0
108.0, 0.191, 0.0
108.0, 0.196, 0.0
110.0, 0.0, 89.0
110.0, 0.00444, 192.0
110.0, 0.00889, 163.0
110.0, 0.0133, 106.0
110.0, 0.0178, 78.0
110.0, 0.0222, 54.0
110.0, 0.0267, 8.0
110.0, 0.0311, 1.0
110.0, 0.0356, 0.0
110.0, 0.04, 0.0
110.0, 0.0444, 0.0
110.0, 0.0489, 0.0
110.0, 0.0533, 0.0
110.0, 0.0578, 0.0
110.0, 0.0622, 0.0
110.0, 0.0667, 0.0
110.0, 0.0711, 0.0
110.0, 0.0756, 0.0
110.0, 0.08, 0.0
110.0, 0.0844, 0.0
110.0, 0.0889, 0.0
110.0, 0.0933, 0.0
110.0, 0.0978, 0.0
110.0, 0.102, 0.0
110.0, 0.107, 0.0
110.0, 0.111, 0.0
110.0, 0.116, 0.0
110.0, 0.12, 0.0
110.0, 0.124, 0.0
110.0, 0.129, 0.0
110.0, 0.133, 0.0
110.0, 0.138, 0.0
110.0, 0.142, 0.0
110.0, 0.147, 0.0
110.0, 0.151, 0.0
110.0, 0.156, 0.0
110.0, 0.16, 0.0
110.0, 0.164, 0.0
110.0, 0.169, 0.0
110.0, 0.173, 0.0
110.0, 0.178, 0.0
110.0, 0.182, 0.0
110.0, 0.187, 0.0
110.0, 0.191, 0.0
110.0, 0.196, 0.0
112.0, 0.0, 56.0
112.0, 0.00444, 134.0
112.0, 0.00889, 137.0
112.0, 0.0133, 118.0
112.0, 0.0178, 101.0
112.0, 0.0222, 78.0
112.0, 0.0267, 54.0
112.0, 0.0311, 28.0
112.0, 0.0356, 9.0
112.0, 0.04, 5.0
112.0, 0.0444, 0.0
112.0, 0.0489, 0.0
112.0, 0.0533, 0.0
112.0, 0.0578, 0.0
112.0, 0.0622, 0.0
112.0, 0.0667, 0.0
112.0, 0.0711, 0.0
112.0, 0.0756, 0.0
112.0, 0.08, 0.0
112.0, 0.0844, 0.0
112.0, 0.0889, 0.0
112.0, 0.0933, 0.0
112.0, 0.0978, 0.0
112.0, 0.102, 0.0
112.0, 0.107, 0.0
112.0, 0.111, 0.0
112.0, 0.116, 0.0
112.0, 0.12, 0.0
112.0, 0.124, 0.0
112.0, 0.129, 0.0
112.0, 0.133, 0.0
112.0, 0.138, 0.0
112.0, 0.142, 0.0
112.0, 0.147, 0.0
112.0, 0.151, 0.0
112.0, 0.156, 0.0
112.0, 0.16, 0.0
112.0, 0.164, 0.0
112.0, 0.169, 0.0
112.0, 0.173, 0.0
112.0, 0.178, 0.0
112.0, 0.182, 0.0
112.0, 0.187, 0.0
112.0, 0.191, 0.0
112.0, 0.196, 0.0
114.0, 0.0, 50.0
114.0, 0.00444, 71.0
114.0, 0.00889, 115.0
114.0, 0.0133, 101.0
114.0, 0.0178, 96.0
114.0, 0.0222, 60.0
114.0, 0.0267, 39.0
114.0, 0.0311, 44.0
114.0, 0.0356, 25.0
114.0, 0.04, 38.0
114.0, 0.0444, 16.0
114.0, 0.0489, 5.0
114.0, 0.0533, 3.0
114.0, 0.0578, 0.0
114.0, 0.0622, 0.0
114.0, 0.0667, 0.0
114.0, 0.0711, 0.0
114.0, 0.0756, 0.0
114.0, 0.08, 0.0
114.0, 0.0844, 0.0
114.0, 0.0889, 0.0
114.0, 0.0933, 0.0
114.0, 0.0978, 0.0
114.0, 0.102, 0.0
114.0, 0.107, 0.0
114.0, 0.111, 0.0
114.0, 0.116, 0.0
114.0, 0.12, 0.0
114.0, 0.124, 0.0
114.0, 0.129, 0.0
114.0, 0.133, 0.0
114.0, 0.138, 0.0
114.0, 0.142, 0.0
114.0, 0.147, 0.0
114.0, 0.151, 0.0
114.0, 0.156, 0.0
114.0, 0.16, 0.0
114.0, 0.164, 0.0
114.0, 0.169, 0.0
114.0, 0.173, 0.0
114.0, 0.178, 0.0
114.0, 0.182, 0.0
114.0, 0.187, 0.0
114.0, 0.191, 0.0
114.0, 0.196, 0.0
116.0, 0.0, 30.0
116.0, 0.00444, 73.0
116.0, 0.00889, 80.0
116.0, 0.0133, 92.0
116.0, 0.0178, 85.0
116.0, 0.0222, 66.0
116.0, 0.0267, 53.0
116.0, 0.0311, 69.0
116.0, 0.0356, 27.0
116.0, 0.04, 36.0
116.0, 0.0444, 18.0
116.0, 0.0489, 14.0
116.0, 0.0533, 18.0
116.0, 0.0578, 13.0
116.0, 0.0622, 6.0
116.0, 0.0667, 1.0
116.0, 0.0711, 0.0
116.0, 0.0756, 0.0
116.0, 0.08, 0.0
116.0, 0.0844, 0.0
116.0, 0.0889, 0.0
116.0, 0.0933, 0.0
116.0, 0.0978, 0.0
116.0, 0.102, 0.0
116.0, 0.107, 0.0
116.0, 0.111, 0.0
116.0, 0.116, 0.0
116.0, 0.12, 0.0
116.0, 0.124, 0.0
116.0, 0.129, 0.0
116.0, 0.133, 0.0
116.0, 0.138, 0.0
116.0, 0.142, 0.0
116.0, 0.147, 0.0
116.0, 0.151, 0.0
116.0, 0.156, 0.0
116.0, 0.16, 0.0
116.0, 0.164, 0.0
116.0, 0.169, 0.0
116.0, 0.173, 0.0
116.0, 0.178, 0.0
116.0, 0.182, 0.0
116.0, 0.187, 0.0
116.0, 0.191, 0.0
116.0, 0.196, 0.0
118.0, 0.0, 25.0
118.0, 0.00444, 39.0
118.0, 0.00889, 47.0
118.0, 0.0133, 64.0
118.0, 0.0178, 59.0
118.0, 0.0222, 67.0
118.0, 0.0267, 53.0
118.0, 0.0311, 55.0
118.0, 0.0356, 38.0
118.0, 0.04, 34.0
118.0, 0.0444, 34.0
118.0, 0.0489, 28.0
118.0, 0.0533, 30.0
118.0, 0.0578, 16.0
118.0, 0.0622, 18.0
118.0, 0.0667, 16.0
118.0, 0.0711, 8.0
118.0, 0.0756, 4.0
118.0, 0.08, 5.0
118.0, 0.0844, 1.0
118.0, 0.0889, 0.0
118.0, 0.0933, 0.0
118.0, 0.0978, 0.0
118.0, 0.102, 0.0
118.0, 0.107, 0.0
118.0, 0.111, 0.0
118.0, 0.116, 0.0
118.0, 0.12, 0.0
118.0, 0.124, 0.0
118.0, 0.129, 0.0
118.0, 0.133, 0.0
118.0, 0.138, 0.0
118.0, 0.142, 0.0
118.0, 0.147, 0.0
118.0, 0.151, 0.0
118.0, 0.156, 0.0
118.0, 0.16, 0.0
118.0, 0.164, 0.0
118.0, 0.169, 0.0
118.0, 0.173, 0.0
118.0, 0.178, 0.0
118.0, 0.182, 0.0
118.0, 0.187, 0.0
118.0, 0.191, 0.0
118.0, 0.196, 0.0
120.0, 0.0, 27.0
120.0, 0.00444, 31.0
120.0, 0.00889, 55.0
120.0, 0.0133, 74.0
120.0, 0.0178, 57.0
120.0, 0.0222, 48.0
120.0, 0.0267, 53.0
120.0, 0.0311, 48.0
120.0, 0.0356, 40.0
120.0, 0.04, 33.0
120.0, 0.0444, 27.0
120.0, 0.0489, 19.0
120.0, 0.0533, 33.0
120.0, 0.0578, 17.0
120.0, 0.0622, 10.0
120.0, 0.0667, 11.0
120.0, 0.0711, 11.0
120.0, 0.0756, 17.0
120.0, 0.08, 8.0
120.0, 0.0844, 5.0
120.0, 0.0889, 2.0
120.0, 0.0933, 3.0
120.0, 0.0978, 2.0
120.0, 0.102, 1.0
120.0, 0.107, 0.0
120.0, 0.111, 0.0
120.0, 0.116, 0.0
120.0, 0.12, 0.0
120.0, 0.124, 0.0
120.0, 0.129, 0.0
120.0, 0.133, 0.0
120.0, 0.138, 0.0
120.0, 0.142, 0.0
120.0, 0.147, 0.0
120.0, 0.151, 0.0
120.0, 0.156, 0.0
120.0, 0.16, 0.0
120.0, 0.164, 0.0
120.0, 0.169, 0.0
120.0, 0.173, 0.0
120.0, 0.178, 0.0
120.0, 0.182, 0.0
120.0, 0.187, 0.0
120.0, 0.191, 0.0
120.0, 0.196, 0.0
122.0, 0.0, 22.0
122.0, 0.00444, 18.0
122.0, 0.00889, 40.0
122.0, 0.0133, 47.0
122.0, 0.0178, 37.0
122.0, 0.0222, 35.0
122.0, 0.0267, 37.0
122.0, 0.0311, 35.0
122.0, 0.0356, 40.0
122.0, 0.04, 37.0
122.0, 0.0444, 28.0
122.0, 0.0489, 38.0
122.0, 0.0533, 20.0
122.0, 0.0578, 13.0
122.0, 0.0622, 25.0
122.0, 0.0667, 21.0
122.0, 0.0711, 11.0
122.0, 0.0756, 15.0
122.0, 0.08, 17.0
122.0, 0.0844, 7.0
122.0, 0.0889, 5.0
122.0, 0.0933, 4.0
122.0, 0.0978, 2.0
122.0, 0.102, 3.0
122.0, 0.107, 3.0
122.0, 0.111, 6.0
122.0, 0.116, 2.0
122.0, 0.12, 1.0
122.0, 0.124, 1.0
122.0, 0.129, 0.0
122.0, 0.133, 0.0
122.0, 0.138, 0.0
122.0, 0.142, 0.0
122.0, 0.147, 0.0
122.0, 0.151, 0.0
122.0, 0.156, 0.0
122.0, 0.16, 0.0
122.0, 0.164, 0.0
122.0, 0.169, 0.0
122.0, 0.173, 0.0
122.0, 0.178, 0.0
122.0, 0.182, 0.0
122.0, 0.187, 0.0
122.0, 0.191, 0.0
122.0, 0.196, 0.0
124.0, 0.0, 22.0
124.0, 0.00444, 25.0
124.0, 0.00889, 24.0
124.0, 0.0133, 27.0
124.0, 0.0178, 35.0
124.0, 0.0222, 38.0
124.0, 0.0267, 25.0
124.0, 0.0311, 26.0
124.0, 0.0356, 23.0
124.0, 0.04, 33.0
124.0, 0.0444, 24.0
124.0, 0.0489, 21.0
124.0, 0.0533, 19.0
124.0, 0.0578, 18.0
124.0, 0.0622, 24.0
124.0, 0.0667, 21.0
124.0, 0.0711, 21.0
124.0, 0.0756, 20.0
124.0, 0.08, 8.0
124.0, 0.0844, 6.0
124.0, 0.0889, 6.0
124.0, 0.0933, 10.0
124.0, 0.0978, 5.0
124.0, 0.102, 5.0
124.0, 0.107, 6.0
124.0, 0.111, 1.0
124.0, 0.116, 3.0
124.0, 0.12, 9.0
124.0, 0.124, 5.0
124.0, 0.129, 2.0
124.0, 0.133, 1.0
124.0, 0.138, 2.0
124.0, 0.142, 0.0
124.0, 0.147, 0.0
124.0, 0.151, 0.0
124.0, 0.156, 0.0
124.0, 0.16, 0.0
124.0, 0.164, 0.0
124.0, 0.169, 0.0
124.0, 0.173, 0.0
124.0, 0.178, 0.0
124.0, 0.182, 0.0
124.0, 0.187, 0.0
124.0, 0.191, 0.0
124.0, 0.196, 0.0
126.0, 0.0, 18.0
126.0, 0.00444, 22.0
126.0, 0.00889, 18.0
126.0, 0.0133, 24.0
126.0, 0.0178, 22.0
126.0, 0.0222, 30.0
126.0, 0.0267, 28.0
126.0, 0.0311, 45.0
126.0, 0.0356, 29.0
126.0, 0.04, 20.0
126.0, 0.0444, 29.0
126.0, 0.0489, 22.0
126.0, 0.0533, 24.0
126.0, 0.0578, 22.0
126.0, 0.0622, 22.0
126.0, 0.0667, 15.0
126.0, 0.0711, 15.0
126.0, 0.0756, 12.0
126.0, 0.08, 12.0
126.0, 0.0844, 13.0
126.0, 0.0889, 10.0
126.0, 0.0933, 9.0
126.0, 0.0978, 7.0
126.0, 0.102, 7.0
126.0, 0.107, 7.0
126.0, 0.111, 6.0
126.0, 0.116, 6.0
126.0, 0.12, 5.0
126.0, 0.124, 5.0
126.0, 0.129, 0.0
126.0, 0.133, 8.0
126.0, 0.138, 2.0
126.0, 0.142, 1.0
126.0, 0.147, 0.0
126.0, 0.151, 2.0
126.0, 0.156, 1.0
126.0, 0.16, 0.0
126.0, 0.164, 0.0
126.0, 0.169, 0.0
126.0, 0.173, 0.0
126.0, 0.178, 0.0
126.0, 0.182, 0.0
126.0, 0.187, 0.0
126.0, 0.191, 0.0
126.0, 0.196, 0.0
128.0, 0.0, 10.0
128.0, 0.00444, 19.0
128.0, 0.00889, 18.0
128.0, 0.0133, 15.0
128.0, 0.0178, 17.0
128.0, 0.0222, 26.0
128.0, 0.0267, 31.0
128.0, 0.0311, 20.0
128.0, 0.0356, 26.0
128.0, 0.04, 31.0
128.0, 0.0444, 15.0
128.0, 0.0489, 20.0
128.0, 0.0533, 15.0
128.0, 0.0578, 14.0
128.0, 0.0622, 21.0
128.0, 0.0667, 14.0
128.0, 0.0711, 14.0
128.0, 0.0756, 15.0
128.0, 0.08, 15.0
128.0, 0.0844, 12.0
128.0, 0.0889, 9.0
128.0, 0.0933, 14.0
128.0, 0.0978, 14.0
128.0, 0.102, 5.0
128.0, 0.107, 7.0
128.0, 0.111, 8.0
128.0, 0.116, 6.0
128.0, 0.12, 5.0
128.0, 0.124, 4.0
128.0, 0.129, 7.0
128.0, 0.133, 4.0
128.0, 0.138, 2.0
128.0, 0.142, 1.0
128.0, 0.147, 4.0
128.0, 0.151, 1.0
128.0, 0.156, 0.0
128.0, 0.16, 1.0
128.0, 0.164, 2.0
128.0, 0.169, 0.0
128.0, 0.173, 0.0
128.0, 0.178, 0.0
128.0, 0.182, 0.0
128.0, 0.187, 0.0
128.0, 0.191, 0.0
128.0, 0.196, 0.0
130.0, 0.0, 25.0
130.0, 0.00444, 18.0
130.0, 0.00889, 21.0
130.0, 0.0133, 17.0
130.0, 0.0178, 17.0
130.0, 0.0222, 20.0
130.0, 0.0267, 15.0
130.0, 0.0311, 26.0
130.0, 0.0356, 14.0
130.0, 0.04, 19.0
130.0, 0.0444, 18.0
130.0, 0.0489, 10.0
130.0, 0.0533, 13.0
130.0, 0.0578, 12.0
130.0, 0.0622, 12.0
130.0, 0.0667, 7.0
130.0, 0.0711, 11.0
130.0, 0.0756, 10.0
130.0, 0.08, 11.0
130.0, 0.0844, 15.0
130.0, 0.0889, 10.0
130.0, 0.0933, 15.0
130.0, 0.0978, 8.0
130.0, 0.102, 6.0
130.0, 0.107, 12.0
130.0, 0.111, 7.0
130.0, 0.116, 8.0
130.0, 0.12, 7.0
130.0, 0.124, 3.0
130.0, 0.129, 4.0
130.0, 0.133, 5.0
130.0, 0.138, 4.0
130.0, 0.142, 1.0
130.0, 0.147, 6.0
130.0, 0.151, 2.0
130.0, 0.156, 4.0
130.0, 0.16, 2.0
130.0, 0.164, 1.0
130.0, 0.169, 2.0
130.0, 0.173, 0.0
130.0, 0.178, 2.0
130.0, 0.182, 0.0
130.0, 0.187, 0.0
130.0, 0.191, 0.0
130.0, 0.196, 0.0
132.0, 0.0, 14.0
132.0, 0.00444, 7.0
132.0, 0.00889, 8.0
132.0, 0.0133, 17.0
132.0, 0.0178, 16.0
132.0, 0.0222, 18.0
132.0, 0.0267, 15.0
132.0, 0.0311, 18.0
132.0, 0.0356, 21.0
132.0, 0.04, 17.0
132.0, 0.0444, 17.0
132.0, 0.0489, 17.0
132.0, 0.0533, 15.0
132.0, 0.0578, 10.0
132.0, 0.0622, 16.0
132.0, 0.0667, 19.0
132.0, 0.0711, 14.0
132.0, 0.0756, 12.0
132.0, 0.08, 7.0
132.0, 0.0844, 16.0
132.0, 0.0889, 5.0
132.0, 0.0933, 7.0
132.0, 0.0978, 8.0
132.0, 0.102, 8.0
132.0, 0.107, 5.0
132.0, 0.111, 3.0
132.0, 0.116, 6.0
132.0, 0.12, 2.0
132.0, 0.124, 10.0
132.0, 0.129, 6.0
132.0, 0.133, 3.0
132.0, 0.138, 7.0
132.0, 0.142, 5.0
132.0, 0.147, 4.0
132.0, 0.151, 4.0
132.0, 0.156, 3.0
132.0, 0.16, 1.0
132.0, 0.164, 4.0
132.0, 0.169, 1.0
132.0, 0.173, 1.0
132.0, 0.178, 0.0
132.0, 0.182, 3.0
132.0, 0.187, 1.0
132.0, 0.191, 0.0
132.0, 0.196, 0.0
134.0, 0.0, 18.0
134.0, 0.00444, 10.0
134.0, 0.00889, 13.0
134.0, 0.0133, 20.0
134.0, 0.0178, 12.0
134.0, 0.0222, 18.0
134.0, 0.0267, 15.0
134.0, 0.0311, 16.0
134.0, 0.0356, 19.0
134.0, 0.04, 14.0
134.0, 0.0444, 14.0
134.0, 0.0489, 15.0
134.0, 0.0533, 7.0
134.0, 0.0578, 13.0
134.0, 0.0622, 11.0
134.0, 0.0667, 9.0
134.0, 0.0711, 10.0
134.0, 0.0756, 10.0
134.0, 0.08, 14.0
134.0, 0.0844, 15.0
134.0, 0.0889, 7.0
134.0, 0.0933, 9.0
134.0, 0.0978, 10.0
134.0, 0.102, 6.0
134.0, 0.107, 6.0
134.0, 0.111, 12.0
134.0, 0.116, 8.0
134.0, 0.12, 10.0
134.0, 0.124, 6.0
134.0, 0.129, 4.0
134.0, 0.133, 5.0
134.0, 0.138, 4.0
134.0, 0.142, 4.0
134.0, 0.147, 6.0
134.0, 0.151, 4.0
134.0, 0.156, 0.0
134.0, 0.16, 2.0
134.0, 0.164, 0.0
134.0, 0.169, 2.0
134.0, 0.173, 2.0
134.0, 0.178, 2.0
134.0, 0.182, 2.0
134.0, 0.187, 0.0
134.0, 0.191, 1.0
134.0, 0.196, 2.0
136.0, 0.0, 11.0
136.0, 0.00444, 15.0
136.0, 0.00889, 13.0
136.0, 0.0133, 18.0
136.0, 0.0178, 17.0
136.0, 0.0222, 20.0
136.0, 0.0267, 14.0
136.0, 0.0311, 13.0
136.0, 0.0356, 16.0
136.0, 0.04, 22.0
136.0, 0.0444, 23.0
136.0, 0.0489, 23.0
136.0, 0.0533, 16.0
136.0, 0.0578, 20.0
136.0, 0.0622, 12.0
136.0, 0.0667, 12.0
136.0, 0.0711, 10.0
136.0, 0.0756, 9.0
136.0, 0.08, 12.0
136.0, 0.0844, 7.0
136.0, 0.0889, 7.0
136.0, 0.0933, 8.0
136.0, 0.0978, 5.0
136.0, 0.102, 6.0
136.0, 0.107, 6.0
136.0, 0.111, 5.0
136.0, 0.116, 5.0
136.0, 0.12, 4.0
136.0, 0.124, 3.0
136.0, 0.129, 3.0
136.0, 0.133, 3.0
136.0, 0.138, 2.0
136.0, 0.142, 3.0
136.0, 0.147, 5.0
136.0, 0.151, 4.0
136.0, 0.156, 5.0
136.0, 0.16, 2.0
136.0, 0.164, 3.0
136.0, 0.169, 3.0
136.0, 0.173, 1.0
136.0, 0.178, 0.0
136.0, 0.182, 0.0
136.0, 0.187, 1.0
136.0, 0.191, 0.0
136.0, 0.196, 0.0
138.0, 0.0, 17.0
138.0, 0.00444, 9.0
138.0, 0.00889, 7.0
138.0, 0.0133, 13.0
138.0, 0.0178, 12.0
138.0, 0.0222, 12.0
138.0, 0.0267, 13.0
138.0, 0.0311, 28.0
138.0, 0.0356, 9.0
138.0, 0.04, 8.0
138.0, 0.0444, 11.0
138.0, 0.0489, 16.0
138.0, 0.0533, 13.0
138.0, 0.0578, 9.0
138.0, 0.0622, 10.0
138.0, 0.0667, 13.0
138.0, 0.0711, 17.0
138.0, 0.0756, 10.0
138.0, 0.08, 14.0
138.0, 0.0844, 5.0
138.0, 0.0889, 6.0
138.0, 0.0933, 8.0
138.0, 0.0978, 6.0
138.0, 0.102, 9.0
138.0, 0.107, 5.0
138.0, 0.111, 8.0
138.0, 0.116, 4.0
138.0, 0.12, 9.0
138.0, 0.124, 1.0
138.0, 0.129, 2.0
138.0, 0.133, 4.0
138.0, 0.138, 2.0
138.0, 0.142, 3.0
138.0, 0.147, 2.0
138.0, 0.151, 1.0
138.0, 0.156, 2.0
138.0, 0.16, 0.0
138.0, 0.164, 2.0
138.0, 0.169, 1.0
138.0, 0.173, 2.0
138.0, 0.178, 2.0
138.0, 0.182, 2.0
138.0, 0.187, 2.0
138.0, 0.191, 1.0
138.0, 0.196, 0.0
140.0, 0.0, 16.0
140.0, 0.00444, 14.0
140.0, 0.00889, 16.0
140.0, 0.0133, 10.0
140.0, 0.0178, 12.0
140.0, 0.0222, 16.0
140.0, 0.0267, 17.0
140.0, 0.0311, 15.0
140.0, 0.0356, 13.0
140.0, 0.04, 9.0
140.0, 0.0444, 12.0
140.0, 0.0489, 11.0
140.0, 0.0533, 11.0
140.0, 0.0578, 11.0
140.0, 0.0622, 5.0
140.0, 0.0667, 7.0
140.0, 0.0711, 9.0
140.0, 0.0756, 4.0
140.0, 0.08, 11.0
140.0, 0.0844, 10.0
140.0, 0.0889, 4.0
140.0, 0.0933, 4.0
140.0, 0.0978, 10.0
140.0, 0.102, 8.0
140.0, 0.107, 9.0
140.0, 0.111, 4.0
140.0, 0.116, 6.0
140.0, 0.12, 1.0
140.0, 0.124, 8.0
140.0, 0.129, 3.0
140.0, 0.133, 2.0
140.0, 0.138, 1.0
140.0, 0.142, 5.0
140.0, 0.147, 2.0
140.0, 0.151, 1.0
140.0, 0.156, 1.0
140.0, 0.16, 0.0
140.0, 0.164, 0.0
140.0, 0.169, 2.0
140.0, 0.173, 1.0
140.0, 0.178, 0.0
140.0, 0.182, 2.0
140.0, 0.187, 0.0
140.0, 0.191, 0.0
140.0, 0.196, 0.0
142.0, 0.0, 10.0
142.0, 0.00444, 12.0
142.0, 0.00889, 12.0
142.0, 0.0133, 12.0
142.0, 0.0178, 12.0
142.0, 0.0222, 14.0
142.0, 0.0267, 17.0
142.0, 0.0311, 12.0
142.0, 0.0356, 9.0
142.0, 0.04, 14.0
142.0, 0.0444, 8.0
142.0, 0.0489, 9.0
142.0, 0.0533, 14.0
142.0, 0.0578, 13.0
142.0, 0.0622, 2.0
142.0, 0.0667, 10.0
142.0, 0.0711, 7.0
142.0, 0.0756, 6.0
142.0, 0.08, 8.0
